IE_XML_ID;IE_NAME;IE_ACTIVE;IE_PREVIEW_TEXT;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_CODE;IP_PROP290;IP_PROP291;IP_PROP292;IP_PROP293;IP_PROP294;IP_PROP295;IP_PROP296;IP_PROP297;IP_PROP298;IP_PROP299;IP_PROP300;IP_PROP301;IP_PROP302;IP_PROP303;IP_PROP304;IP_PROP305;IP_PROP306;IP_PROP311;IP_PROP313;IP_PROP314;IC_GROUP0;IC_ACTIVE0;IC_GROUP1;IC_ACTIVE1;IC_GROUP2;IC_ACTIVE2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
1550;Входная дверь Лацио для дома;Y;;/upload/iblock/f04/f046227e65559a30becd7ac74be5ea43.jpg;"<p>
	 Коллекция «Art» — это сочетание необычного дизайна, уникальной отделки и неповторимой фрезеровки. Модель «Лацио» создана для тех, кто желает получить надёжную защиту и настоящий шедевр в мастерском исполнении.
</p>
<p>
	 Дверь покрыта виноритом, который имеет защиту от повреждений, устойчив к перепадам температур и не поддаётся воздействию УФ-лучей. Патина нанесена вручную, а потому рисунок всегда уникален. Искусственное состаривание поверхности позволяет придать двери таинственности, а также подчеркнуть каждую деталь композиции.
</p>
<p>
	 Ярким декоративным элементом является проём, застекленный двухкамерным стеклопакетом, а также необычная кованная решетка, покрытая кузнечной краской. Помимо внешней привлекательности, дверь «Лацио» прошла сертификационные испытания, в ходе которых была присвоена 5 категория по сопротивляемости взлому, высший класс по герметичности, а также 1-ый класс прочности. Фурнитура и замки принадлежат производству ведущих мировых компаний, имеют сертификаты качества и высшие классы безопасности.
</p>";vkhodnaya_dver_latsio_dlya_doma;/upload/iblock/dea/dea2521cf5a76fe4ca8073c3e0048e26.jpg;/upload/iblock/8ab/8ab9331171417873e6e4b2bffe600fa3.jpg;3;706;Винорит;МДФ влагостойкий ;патина темная;16 мм;рис. О-Е ;цвет «Дуб золотистый»;Винорит;МДФ влагостойкий;патина темная ;16 мм;рис. ХФ-31 ;цвет «Дуб золотистый»;384;Лацио;Для дома;2060 мм;;;;;;;0;0;0;0;0;;;;
1551;Входная дверь Цезарь для дома и квартиры;N;;/upload/iblock/321/321300a031f2d58612bdb409aef12765.jpg;"<p>
	 «Coliseum» — это коллекция дверей, гармонично сочетающая в себе роскошь и безопасность. Дверь «Цезарь» имеет покрытие Vinorit, которое является надёжной защитой от ультрафиолета, атмосферных воздействий и механических повреждений. Чтобы подчеркнуть красоту рисунка и визуально состарить поверхность, дверь вручную покрывается патиной.
</p>
<p>
	 После сертификационных испытаний дверь получила 1-ый (высший) балл прочности покрытия, герметичности и шумоизоляции, а также 5 категорию по сопротивляемости взлому. Фурнитура и замки принадлежат производству компаний Kale, Apecs и Crit, которые гарантируют безопасность, долговечность и отличные защитные свойства своей продукции.
</p>";vkhodnaya_dver_tsezar_dlya_doma_i_kvartiry;/upload/iblock/b51/b516d225342633b75563c16d69de5097.jpg;/upload/iblock/866/866bc834a5f5d7dd8c4051e1b912e8da.jpg;3;706;Винорит;МДФ влагостойкий ;патина золото;16 мм;рис. ХФ-14 ;цвет «Белый»;Винорит;МДФ влагостойкий;патина черная ;16 мм;рис. ХФ-14 ;цвет «Дуб темный»;405;Цезарь;Для дома;от 2000 мм до 2380 мм;;;;;;;;;;;;;;;
1551;Входная дверь Цезарь для дома и квартиры;N;;/upload/iblock/321/321300a031f2d58612bdb409aef12765.jpg;"<p>
	 «Coliseum» — это коллекция дверей, гармонично сочетающая в себе роскошь и безопасность. Дверь «Цезарь» имеет покрытие Vinorit, которое является надёжной защитой от ультрафиолета, атмосферных воздействий и механических повреждений. Чтобы подчеркнуть красоту рисунка и визуально состарить поверхность, дверь вручную покрывается патиной.
</p>
<p>
	 После сертификационных испытаний дверь получила 1-ый (высший) балл прочности покрытия, герметичности и шумоизоляции, а также 5 категорию по сопротивляемости взлому. Фурнитура и замки принадлежат производству компаний Kale, Apecs и Crit, которые гарантируют безопасность, долговечность и отличные защитные свойства своей продукции.
</p>";vkhodnaya_dver_tsezar_dlya_doma_i_kvartiry;/upload/iblock/b51/b516d225342633b75563c16d69de5097.jpg;/upload/iblock/866/866bc834a5f5d7dd8c4051e1b912e8da.jpg;3;706;Винорит;МДФ влагостойкий ;патина золото;16 мм;рис. ХФ-14 ;цвет «Белый»;Винорит;МДФ влагостойкий;патина черная ;16 мм;рис. ХФ-14 ;цвет «Дуб темный»;405;Цезарь;Для квартиры;от 2000 мм до 2380 мм;;;;;;;;;;;;;;;
1552;Металлическая дверь Сенатор для квартиры;N;;/upload/iblock/105/105d44c4806686ba667b9f0c6c4175dd.jpg;"<p>
	 «Coliseum» — это коллекция дверей для дома и квартиры, ставших синонимом слов изысканность, роскошь и надежность. Двери «Сенатор» состоят из влагостойких MDF, толщина которых 16 мм. Дверь имеет покрытие ПВХ, обладающее высокой устойчивостью к истиранию, воздействию УФ-лучей и перепадов температур. В то же время, оно не выделяет вредных веществ, а потому абсолютно безопасно для людей и домашних животных.
</p>
<p>
	 Замковая система представлена сочетанием верхнего сувальдного и нижнего цилиндрового замков, что позволяет значительно увеличить уровень взломостойкости двери.
</p>";metallicheskaya_dver_senator_dlya_kvartiry;/upload/iblock/6ca/6cacc66698b86ef8d094eed84f00728c.jpg;/upload/iblock/2fd/2fdf6caa79d43520cd536e00e8bea729.jpg;2;706;ПВХ;МДФ;;16 мм;рис. Н-41;цвет «Венге светлый» ;ПВХ ;МДФ;;16 мм;рис. Н-41;цвет «Орех темный» ;402;Сенатор;Для квартиры;от 1980 мм до 2380 мм;;;;;;;;;;;;;;;
1553;Входная дверь Монреаль 70.01 для квартиры;N;;/upload/iblock/08b/08b003931b28aa95c6f17101e017afde.jpg;"<p>
	 «Монреаль 70.01» &nbsp;— это новое название двери «Базис-300».
</p>
<p>
	 Достойные технические характеристики входной двери оптимально сочетаются с привлекательной ценой «Монреаль 70.01». С двух сторон изделие защищено виноритом — стойким антивандальным покрытием. Винорит оберегает поверхность входной двери от выцветания, неблагоприятного атмосферного воздействия, механических повреждений.
</p>
<p>
	 Безопасность входной двери гарантирована использованием цельногнутого стального полотна, системой вертикальных и горизонтальных ребер жесткости, противосъемными ригелями, а так же дополнительными стальными пластинами в зане замков. Гибочно-профильная технология производства позволяет достичь заводской точности в 99,9% и создать входную дверь с максимальной точностью и идеальной геометрией.
</p>
<p>
	 Входная дверь «Монреаль 70.01» оснащена двумя замками, сувальдным и цилиндровым, что гарантирует надежную защиту входной двери от незаконного проникновения. Вся фурнитура прошла сертификационные испытания и соответствует высоким классам безопасности.
</p>";vkhodnaya_dver_montreal_70_01_dlya_kvartiry;/upload/iblock/bac/bacc6ca2cd2bb6dd0eabca6188ce3570.jpg;/upload/iblock/60a/60a3fc30d7e9a5042073617b468053ec.jpg;2;743;Винорит;МДФ;;8 мм;рис. Н-62;цвет «Дуб темный»;Винорит;МДФ;;8 мм;рис. Н-62;цвет «Дуб темный»;713;Монреаль 70.01;Для квартиры;2050 мм;;;;;;;;;;;;;;;
1554;Входная дверь Стиль 80.02 для квартиры и офиса;Y;;/upload/iblock/503/5030cf03274df2f292eaf2562b0d894a.jpg;"<p>
	 «Стиль 80.02» — это новое название двери «Новосел-2».
</p>
<p>
	 Коллекция «Новосел» объединяет в себе прекрасный внешний вид и достойные технические характеристики. Модель «Стиль 80.02» внутри покрыта ПВХ, снаружи — полимером. ПВХ — это поливинилхлоридное покрытие, обладающее отличной устойчивостью к скачкам температур и изменениям влажности воздуха. Оно экологичное, легко чистится и долгое время сохраняет свой первоначальный вид. Металлические конструкции окрашиваются с помощью порошково-полимерного покрытия на основе полиэфиров. Данный метод позволяет создать долговечное покрытие, защищающее Ваш дом даже при самых суровых погодных условиях.<br>
</p>
<p>
	 Для защиты сувальдных замков от взлома установлена специальная стальная пластина толщиной 1,2 мм, а врезная броненакладка CRIT надежно защищает цилиндрический замок от высверливания. Дверь имеет высший уровень по сопротивляемости взлому, коэффициент теплопередачи, герметичности и прочности покрытия.
</p>";vkhodnaya_dver_style_80_02_dlya_kvartiry_i_ofisa;/upload/iblock/54a/54afedc9cebf59f3878643966c53e37a.jpg;/upload/iblock/738/738b77d5da9155f8a7661efe4d775982.jpg;2;705;ПВХ;МДФ;;10 мм;фрезеровка «Спарта-4» ;вставки «Венге светлый» ;;Металл 1.2 мм;;;;полимер «Черный шелк» ;347;Стиль 80.02;Для квартиры;2050 мм;;;;;;;0;0;0;0;0;;;;
1555;Металлическая дверь Спарта для квартиры;N;;/upload/iblock/49b/49b0474570be44c0300b445ad27ff58c.jpg;"<p>
	 «Coliseum» — это коллекция роскошных дверей, которые словно впитали в себя многовековую историю. Модель «Спарта» состоит из четких линий и сочетания геометрических фигур, образующих неповторимый рисунок. Стойкое антивандальное покрытие Vinorit обеспечивает долговечность и безопасность двери, защищает её от выцветания, перепадов температур и царапин.
</p>
<p>
	 Качественная фурнитура имеет сертификаты, подтверждающие отличные защитные свойства, долговечность и надёжность, дверь успешно прошла сертификационные тесты и испытания на производстве.
</p>";metallicheskaya_dver_sparta_dlya_kvartiry;/upload/iblock/4af/4af698948d01dc5661f1624bf11b1046.jpg;/upload/iblock/764/7648b7d021c9d9e202e29cd7f2503302.jpg;2;706;Винорит;МДФ;патина черная;16 мм;фрезеровка «Спарта» ;цвет «Дуб золотистый»;Винорит;МДФ;патина черная ;16 мм;рис. ХФ-13 ;цвет «Дуб золотистый»;404;Спарта;Для квартиры;от 1980 мм до 2380 мм;;;;;;;;;;;;;;;
1556;Металлическая дверь Лацио для дома;N;;/upload/iblock/8af/8aff95f5d0ef79d0f9a85e7b7eabd918.jpg;"<p>
	 Коллекция «Art» — это сочетание необычного дизайна, уникальной отделки и неповторимой фрезеровки. Модель «Лацио» создана для тех, кто желает получить надёжную защиту и настоящий шедевр в мастерском исполнении.
</p>
<p>
	 Дверь покрыта виноритом, который имеет защиту от повреждений, устойчив к перепадам температур и не поддаётся воздействию УФ-лучей. Патина нанесена вручную, а потому рисунок всегда уникален. Искусственное состаривание поверхности позволяет придать двери таинственности, а также подчеркнуть каждую деталь композиции.
</p>
<p>
	 Ярким декоративным элементом является проём, застекленный двухкамерным стеклопакетом, а также необычная кованная решетка, покрытая кузнечной краской. Помимо внешней привлекательности, дверь «Лацио» прошла сертификационные испытания, в ходе которых была присвоена 5 категория по сопротивляемости взлому, высший класс по герметичности, а также 1-ый класс прочности. Фурнитура и замки принадлежат производству ведущих мировых компаний, имеют сертификаты качества и высшие классы безопасности.
</p>";metallicheskaya_dver_latsio;/upload/iblock/d3b/d3b2720178f010f2d3e82d9a2b1ddd2c.jpg;/upload/iblock/91d/91db52d63ab37bcbe7f4864ac919c396.jpg;3;706;Винорит;МДФ влагостойкий ;патина темная;16 мм;рис. О-Е ;цвет «Дуб золотистый»;Винорит;МДФ влагостойкий;патина темная ;16 мм;рис. ХФ-31 ;цвет «Дуб золотистый»;383;Лацио;Для дома;от 2000 мм до 2380 мм;;;;;;;;;;;;;;;
1557;Входная дверь Нова 70.02 для квартиры;N;;/upload/iblock/764/7645f28ca868bbc345b74ac95b8463d0.jpg;"<p>
	 Нова 70.02&nbsp;— это новое название двери для квартиры Базис 100.&nbsp;<br>
</p>
<p>
	 Лаконичный внешний вид сочетается с достойными техническими характеристиками. Наружная часть защищена порошково-полимерным покрытием на основе полиэфиров, которое устойчиво к истиранию, воздействию ультрафиолетовых лучей, перепаду температур.
</p>
<p>
	 Дверь «Нова 70.02» укреплена системой вертикальных и горизонтальных ребер жесткости, противосъемными ригелями, дополнительной стальной пластиной в зоне замков. Гибочно-профильная технология производства позволила создать стальную дверь большей толщины при минимальном увеличении веса. Модель имеет 2 контура уплотнения и подходит для установки в квартире, не имеющей прямого выхода на улицу.
</p>
<p>
	 Вся фурнитура прошла сертификационные испытания, имеет высокие показатели надежности и износостойкости. Дверь оснащена сувальдным и цилиндровым замками, что обеспечивает дополнительную защиту.
</p>
 <br>";vkhodnaya_dver_nova_70_02_dlya_kvartiry;/upload/iblock/db7/db7cf267df14f408cdd9b36600d5e0e8.jpg;/upload/iblock/466/46699820676f0129d149ab9cb55bd72c.jpg;2;743;;ХДФ;;6 мм;;цвет «Дуб беленый» ;;Металл 1.2 мм;;;;полимер «Черный шелк» ;698;Нова 70.02;Для квартиры;2050 мм;;;;;;;;;;;;;;;
1558;Входная дверь Шервуд 80.04 для квартиры и офиса;Y;;/upload/iblock/2e9/2e904fa0f2397ab90fb29cab4821783f.jpg;"<p>
	 «Шервуд 80.04» — это новое название двери «Новосел-4».<br>
</p>
<p>
	 Дверь «Шервуд 80.04» имеет покрытие ПВХ, обладающее отличной устойчивостью к скачкам температур и изменениям влажности воздуха. Оно экологичное, легко чистится и долгое время сохраняет свой первоначальный вид. Важным достоинством данного вида покрытия является устойчивость к разного рода повреждениям. Двери, покрытые ПВХ, не рассыхаются, а потому надежно защищают Ваш дом долгие годы.
</p>
<p>
	 Фрезеровка выполнена на итальянском оборудовании, где каждый элемент рисунка доведен до совершенства. Нижний сувальдный и верхний цилиндрический замки, а также врезная броненакладка CRIT защищают квартиру от взлома и гарантируют стабильную работу всех систем долгие года.
</p>";vkhodnaya_dver_sherwood_80_04_dlya_kvartiry_i_ofisa;/upload/iblock/181/181ef32732e0e8f57b5a67c379649c13.jpg;/upload/iblock/e29/e29316f686cd8f4fd43d330ddd6543c1.jpg;2;705;ПВХ;МДФ;;10 мм;фрезеровка «Базилика» (упрощенная);цвет «Венге светлый» ;ПВХ ;МДФ;;10 мм;рис. Н-41;цвет «Тиковое дерево» ;349;Шервуд 80.04;Для квартиры;2050 мм;;;;;;;0;0;0;0;0;;;;
